state,CarbonPricing,EnergyTgt
Alabama,No,No
Alaska,No,Yes
Arizona,No,Yes + Proposed
Arkansas,No,No
California,Yes,Yes
Colorado,No,Yes + Proposed
Connecticut,No + Proposed,Yes + Proposed
Delaware,No,Yes
Florida,No,No
Georgia,No,No
Hawaii,No + Proposed,Yes
Idaho,No,No
Illinois,No,Yes
Indiana,No,Yes
Iowa,No,Yes
Kansas,No,Yes
Kentucky,No,No
Louisiana,No,No
Maine,No + Proposed,Yes + Proposed
Maryland,Yes,Yes + Proposed
Massachusetts,Yes,Yes + Proposed
Michigan,No,Yes
Minnesota,No,Yes + Proposed
Mississippi,No,No
Missouri,No,Yes
Montana,No + Proposed,No
Nebraska,No,No
Nevada,No,Yes
New Hampshire,No + Proposed,Yes
New Jersey,Yes,Yes
New Mexico,No,Yes + Proposed
New York,Yes + Proposed,Yes + Proposed
North Carolina,No,Yes
North Dakota,No,No
Ohio,No,Yes
Oklahoma,No,No
Oregon,No + Proposed,Yes + Proposed
Pennsylvania,No,Yes + Proposed
Rhode Island,No,Yes
South Carolina,No,Yes
South Dakota,No,No
Tennessee,No,No
Texas,No,Yes
Utah,No + Proposed,Yes
Vermont,No + Proposed,Yes
Virginia,No + Proposed,Yes + Proposed
Washington,No + Proposed,Yes + Proposed
West Virginia,No,No
Wisconsin,No,Yes + Proposed
Wyoming,No,No
